ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,ReachedonTime_YN,
122,F,Road,3,3,205,3,medium,F,19,2167,1,0.591297214
123,A,Road,4,2,160,3,low,M,64,,1,0.404216131
124,B,Road,3,3,252,2,medium,F,48,2102,1,0.489260786
125,C,Road,5,5,222,3,low,M,10,,1,0.402302091
126,F,Road,3,3,203,2,low,M,25,3607,1,0.920349472
127,D,Road,4,5,220,3,medium,M,40,3516,1,0.486105418
128,F,Road,3,3,147,4,low,F,60,1722,1,0.161770564
129,A,Road,4,4,200,4,medium,M,16,2060,1,0.270334816
130,B,Road,4,5,224,4,medium,M,21,2026,1,0.689233495
131,C,Road,3,5,179,2,low,F,17,1364,1,0.526024338
132,F,Road,3,4,144,3,low,M,50,1865,1,0.870397065
133,D,Flight,5,2,247,3,low,M,17,3889,1,0.741005359
134,F,Flight,5,4,280,6,medium,F,51,3582,1,0.248424666
135,A,Flight,3,3,168,2,medium,F,1,,1,0.409061244
136,B,Flight,3,5,157,3,medium,F,4,1889,1,0.13984054
137,C,Flight,3,3,189,4,medium,F,51,2208,1,0.62063262
138,F,Flight,3,5,162,2,medium,M,7,1739,1,0.534648211
139,D,Flight,4,1,207,5,low,M,48,2399,1,0.099783647
140,F,Flight,5,1,237,2,low,F,10,3860,1,0.175982588
141,A,Flight,4,4,264,3,high,M,59,2020,1,0.838622014
142,B,Flight,5,4,149,3,low,M,51,,1,0.394997293
143,C,Flight,5,5,162,3,low,M,41,1462,1,0.730603427
144,F,Flight,2,1,205,4,medium,F,63,2156,1,0.86985897
145,D,Flight,2,1,158,3,medium,F,51,1540,1,0.039786366
146,F,Flight,2,2,248,2,low,M,46,3707,1,0.655285265
147,A,Flight,3,5,191,3,low,M,23,3750,1,0.266021285
148,B,Flight,4,3,146,4,medium,F,24,,1,0.409532204
149,C,Flight,3,3,135,3,low,M,56,1490,1,0.012184973
150,F,Flight,5,1,149,3,low,M,40,1062,1,0.15056062
151,D,Flight,4,4,220,2,medium,F,7,2551,1,0.907559082
152,F,Flight,5,3,98,5,medium,M,44,,1,0.441101288
153,A,Flight,3,4,97,4,low,M,32,1238,1,0.260405484
154,B,Flight,3,3,183,2,low,M,53,3932,1,0.189776758
155,C,Ship,3,3,162,3,medium,F,8,1869,1,0.52351624
156,F,Ship,5,1,114,4,low,F,47,1443,1,0.637055302
157,D,Ship,6,3,275,5,low,M,41,,1,0.442324623
158,F,Ship,3,2,203,2,medium,F,39,,1,0.393470744
159,A,Ship,5,5,205,2,high,M,65,3671,1,0.349688967
160,B,Ship,3,3,149,3,low,F,63,1946,1,0.505517189
161,C,Ship,2,2,112,4,medium,M,56,1138,1,0.646897953
162,F,Ship,3,1,207,3,medium,F,56,3482,1,0.022269889
163,D,Ship,4,1,261,4,low,F,58,3427,1,0.705215791
164,F,Ship,5,2,274,3,medium,M,6,3375,1,0.222180727
165,A,Ship,3,5,141,2,low,M,52,1692,1,0.078123002
166,B,Ship,3,3,166,4,medium,F,17,1498,1,0.296017874
167,C,Ship,5,2,141,3,high,F,34,1020,1,0.198986488
168,F,Ship,4,5,152,3,low,M,43,1709,1,0.814185478
169,D,Ship,4,2,250,3,low,F,53,2478,1,0.81513627
170,F,Ship,4,3,161,3,medium,F,28,1809,1,0.343939433
171,A,Ship,4,3,185,3,medium,F,10,2263,1,0.181207459
172,B,Ship,4,4,176,4,high,F,52,1096,1,0.980432568
173,C,Ship,3,4,148,3,low,M,56,1550,1,0.935355637
174,F,Ship,3,2,270,3,low,F,63,2751,1,0.217136706
175,D,Ship,3,3,242,3,low,F,51,3935,1,0.474997169
176,F,Ship,4,4,150,2,medium,M,3,,1,0.377370923
177,A,Ship,4,5,192,3,high,M,20,3872,1,0.687990999
178,B,Ship,4,5,116,3,medium,M,54,1314,1,0.684111329
179,C,Ship,3,3,192,3,medium,F,2,3995,1,0.595502288
180,F,Ship,5,5,255,4,medium,M,3,3440,1,0.294191349
181,D,Ship,4,1,161,7,medium,F,18,1294,1,0.714785977
182,F,Ship,4,5,157,3,low,M,20,1487,1,0.762623672
183,A,Ship,3,2,164,10,high,F,28,1940,1,0.677144825
184,B,Ship,3,5,162,7,medium,F,16,1052,1,0.248102311
185,C,Ship,3,3,146,2,low,M,50,1486,1,0.069092653
186,F,Ship,3,2,209,3,medium,M,54,3001,1,0.643462011
187,D,Ship,5,4,134,2,medium,F,55,1386,1,0.612804051
188,F,Ship,2,1,222,2,medium,M,5,3778,1,0.162594914
189,A,Ship,2,5,139,3,low,F,27,1233,1,0.575024216
190,B,Ship,2,4,134,3,low,F,42,1415,1,0.603354242
191,C,Ship,2,5,130,3,low,M,16,1092,1,0.83014155
192,F,Ship,2,5,133,3,low,F,62,1596,1,0.30798973
193,D,Ship,2,4,140,3,low,F,7,1411,1,0.229133337
194,F,Ship,2,2,158,3,low,M,28,1968,1,0.83345608
195,A,Ship,4,2,270,4,low,F,46,1736,1,0.99832954
196,B,Ship,2,5,140,3,low,F,30,,1,0.405512259
197,C,Ship,2,2,135,3,low,M,15,1339,1,0.467987822
198,F,Ship,2,3,136,3,low,F,19,1568,1,0.749478131
199,D,Ship,2,3,142,3,medium,F,38,7640,1,0.93703873
200,F,Ship,2,2,154,3,medium,M,38,7846,1,0.982166766
201,A,Ship,2,3,139,3,low,M,9,1471,1,0.103081714
202,B,Ship,2,3,160,3,low,F,43,,1,0.415697189
203,C,Ship,2,4,134,3,low,M,58,1067,1,0.266922504
204,F,Ship,5,3,161,5,high,M,48,1883,1,0.6213793
205,D,Ship,2,5,155,3,low,M,23,1602,1,0.1669123
206,F,Ship,2,3,145,3,medium,F,24,7588,1,0.844984536
207,A,Ship,2,2,157,3,low,M,1,1477,1,0.816527033
208,B,Ship,2,2,160,3,low,M,48,1691,1,0.094968152
209,C,Ship,2,4,152,3,low,M,55,1498,1,0.843088154
210,F,Ship,2,5,148,3,high,F,11,1502,1,0.345077558
211,D,Ship,2,1,127,3,low,F,15,1522,1,0.678504148
212,F,Ship,2,5,154,3,low,F,21,1113,1,0.731535815
213,A,Ship,2,5,127,3,low,M,44,1341,1,0.126801518
214,B,Ship,2,5,160,3,medium,F,31,7401,1,0.973864946
215,C,Ship,2,4,129,3,low,F,48,1219,1,0.326111155
216,F,Ship,2,5,158,3,low,F,40,1722,1,0.635305024
217,D,Ship,4,3,185,3,medium,M,3,,1,0.41100023
218,F,Ship,4,4,176,4,high,F,63,1293,1,0.707259528
219,A,Ship,3,4,148,3,low,M,37,,1,0.421673501
220,B,Ship,3,5,270,3,low,M,60,3885,1,0.810795606
221,C,Ship,3,4,242,3,low,M,29,2381,1,0.216219563
222,F,Ship,4,3,150,2,medium,M,31,1588,1,0.773128906
223,D,Ship,4,2,192,3,high,M,4,,1,0.394299081
224,F,Ship,4,5,116,3,medium,F,9,1314,1,0.111081226
225,A,Ship,3,4,192,3,medium,F,31,,1,0.405518275
226,B,Ship,5,4,255,4,medium,F,38,2771,1,0.525216064
227,C,Ship,4,3,161,7,medium,M,63,,1,0.35699505
228,F,Ship,4,2,157,3,low,F,48,1393,1,0.580690284
229,D,Ship,3,2,164,10,high,M,14,,1,0.40355748
230,F,Ship,3,3,162,7,medium,F,42,1278,1,0.461986079
231,A,Ship,3,1,146,2,low,F,54,1528,1,0.451982922
232,B,Ship,3,4,209,3,medium,F,60,2240,1,0.265918549
233,C,Ship,5,5,134,2,medium,M,53,,1,0.364195917
234,F,Ship,2,1,222,2,medium,M,58,3626,1,0.538517374
235,D,Ship,2,1,139,3,low,F,39,1582,1,0.912472474
236,F,Ship,2,2,134,3,low,M,38,1352,1,0.158930329
237,A,Ship,2,3,130,3,low,F,48,1801,1,0.200583663
238,B,Ship,2,2,133,3,low,M,5,,1,0.378356927
239,C,Ship,2,3,140,3,low,F,23,1372,1,0.081793808
240,F,Ship,2,3,158,3,low,M,10,1515,1,0.253815712
241,D,Ship,4,5,270,4,low,M,65,,1,0.385341287
242,F,Ship,2,4,140,3,low,F,33,1278,1,0.69992707
243,A,Ship,2,2,135,3,low,M,58,1734,1,0.075969808
244,B,Ship,2,4,136,3,low,M,43,1958,1,0.255999424
245,C,Ship,2,1,142,3,medium,F,8,6064,1,0.461887779
246,F,Ship,2,4,154,3,medium,F,48,7684,1,0.094418166
247,D,Ship,2,3,139,3,low,F,3,1788,1,0.31907832
248,F,Road,2,4,160,3,low,F,50,1030,1,0.779594575
249,A,Road,2,2,134,3,low,F,38,,1,0.409251579
250,B,Road,5,5,161,5,high,F,54,1511,1,0.856780841
251,C,Road,2,3,155,3,low,F,45,1639,1,0.7550227
252,F,Road,2,2,145,3,medium,F,5,6102,1,0.188541262
253,D,Road,2,1,157,3,low,M,58,1930,1,0.34408461
254,F,Road,2,5,160,3,low,F,19,1399,1,0.256497445
255,A,Road,2,2,152,3,low,F,61,1800,1,0.040647499
256,B,Road,2,2,148,3,high,F,35,,1,0.385485194
257,C,Road,2,2,127,3,low,M,13,1128,1,0.00854313
258,F,Road,2,2,129,3,medium,F,22,6614,1,0.610389007
259,D,Road,2,3,158,3,low,F,13,1245,1,0.588822704
260,F,Road,2,4,147,3,low,M,5,1920,1,0.742936388
261,A,Road,2,5,159,3,low,F,49,1621,1,0.128203969
262,B,Road,2,3,151,3,low,F,23,1930,1,0.71021842
263,C,Road,3,1,294,4,low,F,52,1089,1,0.461121163
264,F,Road,3,2,226,2,medium,M,45,1446,1,0.758377417
265,D,Road,5,3,271,5,high,M,9,,1,0.421105945
266,F,Road,7,2,203,5,medium,F,61,1856,1,0.551807219
267,A,Road,2,3,264,4,low,F,10,1648,1,0.641531823
268,B,Road,4,1,258,3,medium,M,36,2211,1,0.504021673
269,C,Road,3,5,241,3,low,F,21,3078,1,0.075066219
270,F,Flight,4,5,208,3,medium,M,23,2056,1,0.800441007
271,D,Flight,3,2,209,5,medium,F,12,3054,1,0.97440321
272,F,Flight,5,1,182,2,medium,F,23,2707,1,0.054443793
273,A,Flight,4,5,148,2,medium,F,43,1087,1,0.889787154
274,B,Flight,2,3,183,2,medium,F,52,3199,1,0.033929714
275,C,Flight,3,5,229,6,medium,M,22,2717,1,0.319613326
276,F,Flight,5,5,115,5,low,F,26,1692,1,0.787300632
277,D,Flight,4,2,136,3,low,F,65,1962,1,0.95730223
278,F,Flight,4,4,212,3,low,M,21,3307,1,0.833833342
279,A,Flight,4,3,171,3,low,F,24,1304,1,0.217760763
280,B,Flight,3,1,151,2,low,M,60,1925,1,0.102904821
281,C,Flight,3,1,205,3,medium,M,39,3062,1,0.644500127
282,F,Flight,5,4,147,3,medium,M,23,1132,1,0.682964248
283,D,Flight,3,3,155,3,low,F,29,1712,1,0.551521099
284,F,Flight,5,4,165,3,low,F,20,,1,0.418632726
285,A,Flight,5,5,230,3,low,F,32,3249,1,0.971966741
286,B,Flight,2,4,181,4,medium,M,13,2309,1,0.237589515
287,C,Flight,5,3,234,2,low,F,55,3308,1,0.000231755
288,F,Flight,4,4,149,3,low,M,34,1977,1,0.812139525
289,D,Flight,5,5,156,2,low,M,44,1561,1,0.761341788
290,F,Flight,4,2,172,3,medium,F,59,1858,1,0.113143263
291,A,Flight,4,4,270,3,low,M,12,3279,1,0.995908738
292,B,Ship,4,1,206,3,medium,M,23,,1,0.433151763
293,C,Ship,4,3,211,4,medium,M,40,3106,1,0.108422617
294,F,Ship,3,2,136,4,low,M,62,1090,1,0.999643688
295,D,Ship,5,1,186,2,high,F,52,3981,1,0.756635343
296,F,Ship,3,1,202,2,medium,M,62,3398,1,0.453584258
297,A,Ship,4,2,183,3,medium,F,12,3646,1,0.761499301
298,B,Ship,4,4,232,2,low,M,36,2861,1,0.878920852
299,C,Ship,4,2,147,4,medium,M,52,1129,1,0.307810239
300,F,Ship,4,3,136,3,medium,M,20,1531,1,0.08019102
301,D,Ship,5,3,127,3,low,F,43,1446,1,0.47811659
302,F,Ship,4,5,202,2,medium,M,35,3695,1,0.499373675
303,A,Ship,3,4,241,2,low,M,57,3671,1,0.558882795
304,B,Ship,4,3,222,2,medium,M,55,,1,0.437229718
305,C,Ship,3,2,183,4,medium,F,12,2777,1,0.671865435
306,F,Ship,4,4,249,3,medium,F,36,3769,1,0.672237871
307,D,Ship,3,1,243,4,high,M,59,3838,1,0.883611295
308,F,Ship,3,3,163,3,medium,M,9,1257,1,0.820301399
309,A,Ship,4,2,165,2,high,M,11,1596,1,0.605710449
310,B,Ship,5,5,266,3,medium,F,53,3089,1,0.995749788
311,C,Ship,3,4,193,2,medium,M,48,3909,1,0.702525007
312,F,Ship,3,2,154,3,low,F,56,1136,1,0.056459406
313,D,Ship,3,3,140,3,medium,M,51,1046,1,0.238815703
314,F,Ship,4,3,272,3,medium,M,38,3705,1,0.341241006
315,A,Ship,4,2,143,6,medium,M,20,1654,1,0.776760206
316,B,Ship,4,2,138,3,low,F,30,1805,1,0.721646847
317,C,Ship,4,2,238,2,high,M,17,3358,1,0.086567042
318,F,Ship,4,5,273,4,medium,F,31,2373,1,0.092715374
319,D,Ship,3,1,200,2,medium,M,27,,1,0.35553217
320,F,Ship,4,5,213,4,low,M,39,2381,1,0.916618135
321,A,Ship,3,4,224,2,medium,F,15,2701,1,0.54892136
322,B,Ship,4,5,141,3,medium,M,12,,1,0.388314078
323,C,Ship,3,3,150,3,low,M,46,1040,1,0.118916047
324,F,Ship,3,1,192,2,low,M,33,2818,1,0.910785694
325,D,Ship,5,1,279,4,medium,F,24,3440,1,0.019372156
326,F,Ship,3,4,246,3,medium,M,30,3748,1,0.591718241
327,A,Ship,3,4,173,3,medium,M,52,,1,0.393165117
328,B,Ship,4,4,233,4,medium,F,59,,1,0.368841544
329,C,Ship,5,1,274,2,medium,M,24,2423,1,0.454744132
330,F,Ship,4,5,243,4,medium,F,41,2782,1,0.759487103
331,D,Ship,3,4,197,3,medium,F,56,3427,1,0.196090596
332,F,Ship,4,3,140,3,high,F,46,1072,1,0.236864861
333,A,Ship,3,5,215,3,medium,F,22,2585,1,0.862835247
334,B,Ship,3,4,211,3,medium,M,8,3710,1,0.033308614
335,C,Ship,4,2,220,5,low,M,33,2854,1,0.29329335
336,F,Ship,3,1,194,4,low,M,64,2026,1,0.255478459
337,D,Ship,5,1,262,3,medium,F,58,3599,1,0.489605038
338,F,Ship,4,4,201,2,low,F,1,3147,1,0.985930081
339,A,Ship,3,5,261,3,medium,M,15,2989,1,0.024191588
340,B,Ship,4,4,191,6,low,F,60,,1,0.352503526
341,C,Ship,2,5,255,5,medium,F,53,3775,1,0.910658374
342,F,Ship,3,2,169,2,high,M,30,,1,0.390287602
343,D,Ship,4,5,162,2,medium,M,64,1918,1,0.187003183
344,F,Ship,2,5,248,6,low,F,62,2750,1,0.784001773
345,A,Ship,5,3,197,4,low,F,2,2222,1,0.040543798
346,B,Ship,5,1,264,3,low,M,6,2882,1,0.724888411
347,C,Ship,5,5,260,2,medium,F,55,2791,1,0.890786297
348,F,Ship,5,3,186,2,medium,F,58,2259,1,0.187955664
349,D,Ship,4,5,233,4,low,F,44,,1,0.44406922
350,F,Ship,5,1,161,3,low,M,47,1954,1,0.508777613
351,A,Ship,4,5,188,3,low,F,13,2409,1,0.23910952
352,B,Ship,5,5,171,2,medium,F,22,,1,0.398722338
353,C,Ship,2,2,267,3,medium,M,15,2481,1,0.533357455
354,F,Ship,4,3,255,2,high,M,47,2956,1,0.539972346
355,D,Ship,3,2,132,3,low,F,56,1303,1,0.646139035
356,F,Ship,5,1,266,3,low,F,31,3157,1,0.87890216
357,A,Ship,3,4,198,2,low,M,25,2774,1,0.827761363
358,B,Ship,2,3,247,2,medium,F,62,3127,1,0.969794804
359,C,Ship,3,1,140,3,medium,F,65,1291,1,0.80698624
360,F,Ship,4,3,131,5,low,M,6,,1,0.408598481
361,D,Ship,5,2,246,3,medium,M,49,3236,1,0.485519571
362,F,Ship,3,2,159,3,medium,F,4,1681,1,0.807108988
363,A,Ship,3,5,203,2,medium,M,61,,1,0.421563859
364,B,Ship,4,3,187,4,high,F,29,3141,1,0.715859113
365,C,Ship,6,2,146,3,low,F,62,1936,1,0.795265811
366,F,Ship,3,2,234,3,medium,M,39,2099,1,0.9154812
367,D,Ship,3,4,122,3,high,F,15,1354,1,0.095993492
368,F,Ship,3,3,135,3,low,M,8,1074,1,0.549757571
369,A,Ship,3,5,103,3,low,M,3,1403,1,0.198304379
370,B,Ship,3,5,257,3,medium,F,19,2173,1,0.819048864
371,C,Ship,4,3,169,2,low,M,2,1399,1,0.076426076
372,F,Ship,4,5,159,3,medium,M,18,1808,1,0.070953172
373,D,Ship,4,5,188,3,low,M,38,3031,1,0.103435578
374,F,Ship,5,1,136,3,medium,M,19,1420,1,0.593457403
375,A,Ship,5,1,227,3,low,F,19,3007,1,0.071518065
376,B,Ship,3,5,262,2,low,F,53,3275,1,0.537502452
377,C,Ship,2,3,157,2,low,M,45,1965,1,0.487355383
378,F,Ship,5,3,238,2,medium,F,21,2053,1,0.521964632
379,D,Ship,3,5,152,3,low,M,43,1282,1,0.201850787
380,F,Ship,3,2,201,3,medium,M,5,2040,1,0.879392247
381,A,Ship,3,4,148,2,low,M,54,1778,1,0.987553371
382,B,Ship,5,2,199,4,low,F,59,,1,0.448755297
383,C,Ship,5,4,215,2,low,F,45,3501,1,0.090874319
384,F,Ship,4,5,175,2,low,M,40,,1,0.410820553
385,D,Road,4,3,236,2,high,M,23,3123,1,0.706538501
386,F,Road,2,5,182,2,medium,F,57,2896,1,0.650954797
387,A,Road,3,1,251,3,medium,M,42,3698,1,0.750060747
388,B,Road,5,2,173,3,low,F,7,1855,1,0.479890994
389,C,Road,4,3,225,3,low,F,62,,1,0.413336117
390,F,Road,4,2,167,4,low,F,20,1705,1,0.220437793
391,D,Road,4,1,259,3,low,M,20,2154,1,0.556447594
392,F,Road,4,1,178,3,medium,F,63,1573,1,0.787062728
393,A,Road,4,4,178,4,medium,F,13,,1,0.36909399
394,B,Road,5,4,169,2,low,F,20,1765,1,0.135603233
395,C,Road,3,2,272,2,low,M,33,2321,1,0.690551266
396,F,Road,4,4,183,3,low,M,29,3251,1,0.267538853
397,D,Road,3,4,205,3,low,F,10,2728,1,0.947985991
398,F,Road,2,1,123,4,low,F,53,1036,1,0.676914236
399,A,Road,4,3,152,3,low,M,58,1453,1,0.906080762
400,B,Road,3,1,220,2,high,F,40,3773,1,0.309139392
401,C,Road,4,3,134,3,low,M,51,1965,1,0.280758381
402,F,Road,3,2,217,2,high,M,19,2992,1,0.280308318
403,D,Road,3,2,265,3,low,F,49,2791,1,0.039492694
404,F,Road,4,2,249,5,medium,M,36,3836,1,0.029028949
405,A,Road,5,3,213,4,medium,F,50,2003,1,0.512515513
406,B,Road,2,2,124,3,low,F,56,,1,0.392837539
407,C,Flight,4,1,180,2,low,M,23,1193,1,0.58576598
408,F,Flight,4,5,193,3,medium,M,65,2267,1,0.883664132
409,D,Flight,3,2,192,3,medium,M,43,3339,1,0.063159459
410,F,Flight,2,5,166,3,medium,M,3,1832,1,0.486644196
411,A,Flight,3,2,264,3,medium,M,5,3861,1,0.998650206
412,B,Flight,3,4,200,2,medium,M,14,,1,0.447946514
413,C,Flight,4,3,142,4,medium,M,12,1396,1,0.850800713
414,F,Flight,4,1,215,2,low,M,32,3066,1,0.836007539
415,D,Flight,2,1,218,2,low,M,15,2745,1,0.332023445
416,F,Flight,3,2,115,3,low,F,27,1814,1,0.74559453
417,A,Flight,4,3,159,3,low,M,33,1330,1,0.732033
418,B,Flight,5,5,133,3,low,M,63,,1,0.409256147
